scenario_name,replication_index,seed,throughput,loss_probability,mean_num_jobs,mean_occupied_resource
base,0,11400714819323198527,2.041111,0.000000,1.742743,3.462515
base,1,4354685564936845312,1.958333,0.000284,1.583133,3.175311
base,2,15755400384260043797,1.964444,0.000283,1.623271,3.242759
base,3,8709371129873690750,1.965556,0.000000,1.571346,3.126096
base,4,1663341875487337539,1.966111,0.000282,1.596972,3.164783
base,5,13064056694810536020,2.035556,0.000545,1.690656,3.391551
base,6,6018027440424182969,1.962222,0.000283,1.599970,3.156022
base,7,17418742259747381378,1.975000,0.000000,1.612373,3.267963
base,8,10372713005361028247,1.968333,0.000564,1.703243,3.461353
base,9,3326683750974675192,1.993889,0.000278,1.619472,3.296841
